紹介	しょうかい	shoukai
紹介状	しょうかいじょう	shoukaijou
体脂肪	たいしぼう	taishibou
証拠金	しょうこきん	shoukokinn
項中	こうちゅう	kouchuu
老朽化	ろうきゅうか	roukyuuka
治療薬	ちりょうやく	chiryouyaku
透明度	とうめいど	toumeido
被災者	ひさいしゃ	hisaisha
冒険者	ぼうけんしゃ	boukennsha
御用	ごよう	goyou
脂肪酸	しぼうさん	shibousann
飛躍的	ひやくてき	hiyakuteki
何歳	なんさい	nannsai
被写体	ひしゃたい	hishatai
販売元	はんばいもと	hannbaimoto
執行部	しっこうぶ	shikkoubu
監査役	かんさやく	kannsayaku
二十歳	はたち	hatachi
浮世絵	うきよえ	ukiyoe
連載中	れんさいちゅう	rennsaichuu
爆発的	ばくはつてき	bakuhatsuteki
抜本的	ばっぽんてき	bapponnteki
両腕	りょううで	ryouude
舞台裏	ぶたいうら	butaiura
攻撃的	こうげきてき	kougekiteki
状況下	じょうきょうか	joukyouka
実店舗	じつてんぽ	jitsutennpo
添乗員	てんじょういん	tennjouinn
驚異的	きょういてき	kyouiteki
備考欄	びこうらん	bikourann
刺激的	しげきてき	shigekiteki
記憶力	きおくりょく	kiokuryoku
脚本家	きゃくほんか	kyakuhonnka
晩御飯	ばんごはん	banngohann
防波堤	ぼうはてい	bouhatei
歳時記	さいじき	saijiki
含有量	がんゆうりょう	gannyuuryou
抗酸化	こうさんか	kousannka
被災地	ひさいち	hisaichi
入浴剤	にゅうよくざい	nyuuyokuzai
奇跡的	きせきてき	kisekiteki
連絡会	れんらくかい	rennrakukai
治療費	ちりょうひ	chiryouhi
歌謡曲	かようきょく	kayoukyoku
支援者	しえんしゃ	shiennsha
大冒険	だいぼうけん	daiboukenn
花柄	はながら	hanagara
優秀賞	ゆうしゅうしょう	yuushuushou
桃色	ももいろ	momoiro
被爆者	ひばくしゃ	hibakusha
占星術	せんせいじゅつ	sennseijutsu
変更点	へんこうてん	hennkoutenn
振興会	しんこうかい	shinnkoukai
連泊	れんぱく	rennpaku
微粒子	びりゅうし	biryuushi
執筆者	しっぴつしゃ	shippitsusha
床面積	ゆかめんせき	yukamennseki
婚約者	こんやくしゃ	konnyakusha
全般的	ぜんぱんてき	zennpannteki
殺虫剤	さっちゅうざい	sacchuuzai
破壊力	はかいりょく	hakairyoku
象徴的	しょうちょうてき	shouchouteki
介護者	かいごしゃ	kaigosha
医療用	いりょうよう	iryouyou
美脚	びきゃく	bikyaku
透明性	とうめいせい	toumeisei
信頼度	しんらいど	shinnraido
支援法	しえんほう	shiennhou
更新日	こうしんび	koushinnbi
近距離	きんきょり	kinnkyori
環状線	かんじょうせん	kannjousenn
普段着	ふだんぎ	fudanngi
距離感	きょりかん	kyorikann
幾何学	きかがく	kikagaku
皮膚病	ひふびょう	hifubyou
維持費	いじひ	ijihi
小惑星	しょうわくせい	shouwakusei
販売者	はんばいしゃ	hannbaisha
活性剤	かっせいざい	kasseizai
入稿	にゅうこう	nyuukou
和太鼓	わだいこ	wadaiko
派遣先	はけんさき	hakennsaki
急斜面	きゅうしゃめん	kyuushamenn
一軒家	いっけんや	ikkennya
大御所	おおごしょ	oogosho
取扱店	とりあつかいてん	toriatsukaitenn
玄関先	げんかんさき	gennkannsaki
一般道	いっぱんどう	ippanndou
普通科	ふつうか	futsuuka
慢性的	まんせいてき	mannseiteki
握手会	あくしゅかい	akushukai
熱狂的	ねっきょうてき	nekkyouteki
水溶液	すいようえき	suiyoueki
人為的	じんいてき	jinniteki
隣町	となりまち	tonarimachi
攻略本	こうりゃくぼん	kouryakubonn
乾電池	かんでんち	kanndennchi
抵抗力	ていこうりょく	teikouryoku
水溶性	すいようせい	suiyousei
育毛剤	いくもうざい	ikumouzai
報道陣	ほうどうじん	houdoujinn
被疑者	ひぎしゃ	higisha
最南端	さいなんたん	sainanntann
短距離	たんきょり	tannkyori
申込者	もうしこみしゃ	moushikomisha
角煮	かくに	kakuni
抵当権	ていとうけん	teitoukenn
信頼感	しんらいかん	shinnraikann
天皇杯	てんのうはい	tennnouhai
到着日	とうちゃくび	touchakubi
不起訴	ふきそ	fukiso
普通車	ふつうしゃ	futsuusha
不可抗力	ふかこうりょく	fukakouryoku
応援歌	おうえんか	ouennka
戦闘中	せんとうちゅう	senntouchuu
格闘家	かくとうか	kakutouka
即戦力	そくせんりょく	sokusennryoku
歓迎会	かんげいかい	kanngeikai
年齢的	ねんれいてき	nennreiteki
先駆者	せんくしゃ	sennkusha
販売業	はんばいぎょう	hannbaigyou
贈答用	ぞうとうよう	zoutouyou
販売所	はんばいしょ	hannbaisho
持込	もちこめ	mochikome
最後尾	さいこうび	saikoubi
贈答品	ぞうとうひん	zoutouhinn
大先輩	だいせんぱい	daisennpai
宿泊先	しゅくはくさき	shukuhakusaki
依存性	いぞんせい	izonnsei
脱衣所	だついじょ	datsuijo
恐怖心	きょうふしん	kyoufushinn
名盤	めいばん	meibann
抵抗性	ていこうせい	teikousei
半透明	はんとうめい	hanntoumei
優越感	ゆうえつかん	yuuetsukann
黙示録	もくしろく	mokushiroku
目撃者	もくげきしゃ	mokugekisha
本剤	ほんざい	honnzai
和柄	わがら	wagara
狂犬病	きょうけんびょう	kyoukennbyou
除草剤	じょそうざい	josouzai
警戒心	けいかいしん	keikaishinn
水彩画	すいさいが	suisaiga
特攻隊	とっこうたい	tokkoutai
被験者	ひけんしゃ	hikennsha
更衣室	こういしつ	kouishitsu
介護職	かいごしょく	kaigoshoku
都市圏	としけん	toshikenn
薄味	うすあじ	usuaji
販売員	はんばいいん	hannbaiinn
劣等感	れっとうかん	rettoukann
即売会	そくばいかい	sokubaikai
爆撃機	ばくげきき	bakugekiki
鑑定士	かんていし	kannteishi
戦闘力	せんとうりょく	senntouryoku
結婚後	けっこんご	kekkonngo
宿泊客	しゅくはくきゃく	shukuhakukyaku
端部	たんぶ	tannbu
民俗学	みんぞくがく	minnzokugaku
更新料	こうしんりょう	koushinnryou
療養費	りょうようひ	ryouyouhi
大富豪	だいふごう	daifugou
疲労感	ひろうかん	hiroukann
高脂	こうし	koushi
朱色	しゅいろ	shuiro
奥深	おくふか|おくぶか	okufuka|okubuka
占用	せんよう	sennyou
違法性	いほうせい	ihousei
耐震性	たいしんせい	taishinnsei
縁起物	えんぎもの	enngimono
御宿	おやど	oyado
女性陣	じょせいじん	joseijinn
装飾品	そうしょくひん	soushokuhinn
傾斜地	けいしゃち	keishachi
関西圏	かんさいけん	kannsaikenn
横幅	よこはば	yokohaba
宿泊日	しゅくはくび	shukuhakubi
床材	ゆかざい	yukazai
東端	とうたん	toutann
御存知	ごぞんじ	gozonnji
目一杯	めいっぱい	meippai
巨人戦	きょじんせん	kyojinnsenn
最北端	さいほくたん	saihokutann
