記事	きじ	kiji
歯ぎしり	はぎしり	hagishiri
真っすぐ	まっすぐ	massugu
急かす	せかす	sekasu
研く	みがく	migaku
書き写す	かきうつす	kakiutsusu
起きあがる	おきあがる	okiagaru
持ち去る	もちさる	mochisaru
ならず者	ならずもの	narazumono
ろう者	ろうしゃ	rousha
耳打ち	みみうち	mimiuchi
そら豆	そらまめ	soramame
鼻くそ	はなくそ	hanakuso
真後ろ	まうしろ	maushiro
究める	きわめる	kiwameru
投げ入れ	なげいれ	nageire
物知り	ものしり	monoshiri
取り仕切る	とりしきる	torishikiru
こじ開ける	こじあける	kojiakeru
表書き	おもてがき	omotegaki
期する	きする|ごする	kisuru|gosuru
よそ者	よそもの	yosomono
湯上り	ゆあがり	yuagari
早送り	はやおくり	hayaokuri
起き出す	おきだす	okidasu
助け出す	たすけだす	tasukedasu
受けとる	うけとる	uketoru
事なき	ことなき	kotonaki
頭打ち	あたまうち|ずうち	atamauchi|zuuchi
言い様	いいよう	iiyou
ふ化	ふか	fuka
取りそろえる	とりそろえる	torisoroeru
名乗り出る	なのりでる	nanorideru
持ち時間	もちじかん	mochijikann
取りあげる	とりあげる	toriageru
取りこぼす	とりこぼす	torikobosu
服す	ふくす	fukusu
重り	おもり|かさなり	omori|kasanari
開け放つ	あけはなつ	akehanatsu
流し台	ながしだい	nagashidai
取立て	とりたて	toritate
暗む	くらむ|ぐらむ	kuramu|guramu
決め方	きめかた	kimekata
追い打ち	おいうち	oiuchi
申し合わせ	もうしあわせ	moushiawase
落ち目	おちめ	ochime
打ち取る	うちとる	uchitoru
物悲しい	ものがなしい	monoganashii
反らす	そらす|ぞらす	sorasu|zorasu
面食らう	めんくらう	mennkurau
つり橋	つりばし	tsuribashi
曲がりくねる	まがりくねる	magarikuneru
取り回す	とりまわす	torimawasu
言の葉	ことのは	kotonoha
面取り	めんとり	menntori
取次ぐ	とりつぐ	toritsugu
合い言葉	あいことば	aikotoba
表する	ひょうする	hyousuru
湯飲み	ゆのみ	yunomi
送り主	おくりぬし	okurinushi
言い表せる	いいあらわせる	iiarawaseru
乗り回す	のりまわす	norimawasu
落ち合う	おちあう|おちおう	ochiau|ochiou
持ち運ぶ	もちはこぶ	mochihakobu
役回り	やくまわり	yakumawari
一区切り	ひとくぎり	hitokugiri
作り物	つくりもの	tsukurimono
打ち合い	うちあい	uchiai
植わる	うわる	uwaru
病みつき	やみつき	yamitsuki
住みつく	すみつく	sumitsuku
お引き受け	おひきうけ	ohikiuke
ぶり返す	ぶりかえす	burikaesu
物思い	ものおもい	monoomoi
耳鼻いんこう	じびいんこう	jibiinnkou
気味が悪い	きみがわるい	kimigawarui
真直ぐ	まっすぐ	massugu
帳消し	ちょうけし	tyoukeshi
号する	ごうする	gousuru
見返す	みかえす	mikaesu
乗り入れる	のりいれる	noriireru
仕向け	しむけ	shimuke
言い表す	いいあらわす	iiarawasu
打ちつける	うちつける	uchitsukeru
負わす	おわす	owasu
転げる	ころげる	korogeru
起り	おこり	okori
物言う	ものいう	monoiu
宿り	やどり	yadori
話し言葉	はなしことば	hanashikotoba
花開く	はなひらく	hanahiraku
打つ手	うつて	utsute
流せる	ながせる	nagaseru
打ち返す	うちかえす	uchikaesu
乗り合わせる	のりあわせる	noriawaseru
表立つ	おもてだつ	omotedatsu
横たえる	よこたえる	yokotaeru
病み上がり	やみあがり	yamiagari
反り返る	そりかえる	sorikaeru
後の祭り	あとのまつり	atonomatsuri
感じ取れる	かんじとれる	kannjitoreru
思い起こせる	おもいおこせる	omoiokoseru
相乗り	あいのり	ainori
着こなす	きこなす	kikonasu
写せる	うつせる	utsuseru
追っ手	おって	otte
追い回す	おいまわす	oimawasu
世直し	よなおし	yonaoshi
取上げる	とりあげる	toriageru
物まね	ものまね	monomane
ねじ曲げる	ねじまげる	nejimageru
気味悪い	きみわるい	kimiwarui
打って出る	うってでる	uttederu
相手取る	あいてどる	aitedoru
つや消し	つやけし	tsuyakeshi
手遊び	てあそび|てすさび	teasobi|tesusabi
悪あがき	わるあがき	waruagaki
身売り	みうり	miuri
ひと安心	ひとあんしん	hitoannshinn
根深い	ねぶかい	nebukai
気負う	きおう	kiou
受け持ち	うけもち	ukemochi
表通り	おもてどおり	omotedoori
乗り合い	のりあい	noriai
毛深い	けぶかい	kebukai
取外し	とりはずし	torihazushi
深入り	ふかいり	fukairi
味つけ	あじつけ	ajitsuke
ひと息	ひといき	hitoiki
見定め	みさだめ	misadame
事細か	ことこまか	kotokomaka
取りだす	とりだす	toridasu
持ち回り	もちまわり	mochimawari
半開き	はんびらき	hannbiraki
平に	ひらに	hirani
さざ波	さざなみ	sazanami
日取り	ひどり	hidori
馬乗り	うまのり	umanori
打ち直す	うちなおす	uchinaosu
気負い	きおい	kioi
拾える	ひろえる	hiroeru
取りざた	とりざた	torizata
見取り図	みとりず	mitorizu
深追い	ふかおい	fukaoi
両さん	りょうさん	ryousann
悪ふざけ	わるふざけ	warufuzake
決定づける	けっていづける	ketteidukeru
晴れ着	はれぎ	haregi
用心深い	ようじんぶかい	youjinnbukai
真ん前	まんまえ	mannmae
気安い	きやすい|きやしい	kiyasui|kiyashii
仕立てる	したてる	shitateru
急ぎ足	いそぎあし	isogiashi
打ちっぱなし	うちっぱなし	uchippanashi
感じ入る	かんじいる	kannjiiru
水飲み	みずのみ	mizunomi
品ぞろえ	しなぞろえ	shinazoroe
川流れ	かわながれ	kawanagare
ぶどう酒	ぶどうしゅ	budoushu
うな重	うなじゅう	unajuu
品定め	しなさだめ	shinasadame
横流し	よこながし	yokonagashi
重ね重ね	かさねがさね	kasanegasane
息づかい	いきづかい	ikidukai
負い目	おいめ	oime
みやげ物	みやげもの	miyagemono
きき酒	ききざけ	kikizake
言い返せる	いいかえせる	iikaeseru
落し物	おとしもの	otoshimono
追い立てる	おいたてる	oitateru
着こなせる	きこなせる	kikonaseru
根づく	ねづく	neduku
取り止める	とりとめる|とりやめる	toritomeru|toriyameru
受け口	うけぐち|うけくち	ukeguchi|ukekuchi
開けっ放し	あけっぱなし	akeppanashi
決る	きまる|ぎまる	kimaru|gimaru
役だつ	やくだつ	yakudatsu
受けつける	うけつける	uketsukeru
書き取る	かきとる	kakitoru
つり具	つりぐ	tsurigu
いで湯	いでゆ	ideyu
事足りる	ことたりる	kototariru
仕上り	しあがり	shiagari
悪びれる	わるびれる	warubireru
向こう岸	むこうぎし	mukougishi
持ちこむ	もちこむ	mochikomu
聞き取れる	ききとれる	kikitoreru
花祭り	はなまつり	hanamatsuri
集り	あつまり|たかり|だかり	atsumari|takari|dakari
つかみ取り	つかみどり|つかみとり	tsukamidori|tsukamitori
申し子	もうしご	moushigo
拾い読み	ひろいよみ	hiroiyomi
終わらす	おわらす	owarasu
真っ黒い	まっくろい	makkuroi
持ち歩ける	もちあるける	mochiarukeru
取り分	とりぶん	toribunn
取り持つ	とりもつ	torimotsu
回し者	まわしもの	mawashimono
持ち運べる	もちはこべる	mochihakoberu
取り入る	とりいる	toriiru
人助け	ひとだすけ	hitodasuke
登りつめる	のぼりつめる	noboritsumeru
切り返す	きりかえす	kirikaesu
やり返す	やりかえす	yarikaesu
麦打ち	むぎうち	mugiuchi
習わし	ならわし	narawashi
持ち場	もちば	mochiba
申し立てる	もうしたてる	moushitateru
物売り	ものうり	monouri
定まり	さだまり	sadamari
相打ち	あいうち	aiuchi
美しくも	いしくも	ishikumo
お天道様	おてんとさま	otenntosama
受け方	うけかた	ukekata
感づく	かんづく	kannduku
福の神	ふくのかみ	fukunokami
落とし物	おとしもの	otoshimono
小気味よい	こきみよい	kokimiyoi
死する	しする	shisuru
祭り上げる	まつりあげる	matsuriageru
乗りこむ	のりこむ	norikomu
湯通し	ゆどおし	yudooshi
言葉づかい	ことばづかい	kotobadukai
進み出る	すすみでる	susumideru
取り交わす	とりかわす	torikawasu
遊ばす	あそばす	asobasu
待ちかまえる	まちかまえる	machikamaeru
書き物	かきもの	kakimono
仕切り直し	しきりなおし	shikirinaoshi
服する	ふくする	fukusuru
湯上がり	ゆあがり	yuagari
住みかえる	すみかえる	sumikaeru
待てる	まてる	materu
息の根	いきのね	ikinone
打ちまくる	うちまくる	uchimakuru
板の間	いたのま	itanoma
平手打ち	ひらてうち	hirateuchi
血みどろ	ちみどろ	chimidoro
がぶ飲み	がぶのみ	gabunomi
手習い	てならい	tenarai
打ち身	うちみ	uchimi
お神酒	おみき	omiki
放れる	はなれる	hanareru
取り外せる	とりはずせる	torihazuseru
しっぺ返し	しっぺがえし	shippegaeshi
子守り	こもり	komori
待ちくたびれる	まちくたびれる	machikutabireru
目配り	めくばり	mekubari
有終の美	ゆうしゅうのび	yuushuunobi
むち打つ	むちうつ	muchiutsu
身じろぐ	みじろぐ	mijirogu
練り直す	ねりなおす	nerinaosu
問い返す	といかえす	toikaesu
言い終わる	いいおわる	iiowaru
取り返せる	とりかえせる	torikaeseru
もみ消し	もみけし	momikeshi
身の毛	みのけ	minoke
乗りこなす	のりこなす	norikonasu
西向き	にしむき	nishimuki
波立つ	なみだつ	namidatsu
いぶし銀	いぶしぎん	ibushiginn
問いつめる	といつめる	toitsumeru
血走る	ちばしる	chibashiru
上っ面	うわっつら	uwattsura
仕立て屋	したてや	shitateya
油っこい	あぶらっこい	aburakkoi
消え入る	きえいる	kieiru
暑がり	あつがり	atsugari
待ちぼうけ	まちぼうけ	machibouke
病める	やめる	yameru
ふんぞり返る	ふんぞりかえる	funnzorikaeru
曲がりなりにも	まがりなりにも	magarinarinimo
化けの皮	ばけのかわ	bakenokawa
目配せ	めくばせ	mekubase
うっ血	うっけつ	ukketsu
くじ運	くじうん	kujiunn
立ち消え	たちぎえ	tachigie
練り物	ねりもの	nerimono
船着き場	ふなつきば	funatsukiba
鳴り物	なりもの	narimono
人受け	ひとうけ	hitouke
白和え	しらあえ	shiraae
流し入れる	ながしいれる	nagashiireru
お住い	おすまい	osumai
調える	ととのえる	totonoeru
申しつける	もうしつける	moushitsukeru
食い意地	くいいじ	kuiiji
二つ返事	ふたつへんじ	futatsuhennji
気落ち	きおち	kiochi
申入れ	もうしいれ	moushiire
終に	ついに	tsuini
生温い	なまぬるい|なまぬりい	namanurui|namanurii
乗り手	のりて	norite
写し出す	うつしだす	utsushidasu
流る	ながれる|ながる	nagareru|nagaru
注げる	そそげる|つげる	sosogeru|tsugeru
持ち合い	もちあい	mochiai
事始め	ことはじめ	kotohajime
もの悲しい	ものがなしい	monoganashii
火遊び	ひあそび	hiasobi
化かす	ばかす	bakasu
由る	よる	yoru
列する	れっする	ressuru
取出し	とりだし	toridashi
向かえる	むかえる	mukaeru
持ちきる	もちきる	mochikiru
転ずる	てんずる	tennzuru
血祭り	ちまつり	chimatsuri
真向かい	まむかい	mamukai
待受ける	まちうける	machiukeru
引き落とす	ひきおとす	hikiotosu
気乗り	きのり	kinori
追っかける	おっかける	okkakeru
放せる	はなせる	hanaseru
投げ売り	なげうり	nageuri
島流し	しまながし	shimanagashi
身ごもる	みごもる	migomoru
男勝り	おとこまさり	otokomasari
流し目	ながしめ	nagashime
見せ物	みせもの	misemono
乗りきる	のりきる	norikiru
落ちこむ	おちこむ	ochikomu
手植え	てうえ	teue
負けん気	まけんき	makennki
相づち	あいづち	aiduchi
仕る	つかまつる|する	tsukamatsuru|suru
神がかり	かみがかり	kamigakari
命からがら	いのちからがら	inochikaragara
お多福	おたふく	otafuku
書き言葉	かきことば	kakikotoba
両開き	りょうびらき	ryoubiraki
拾い物	ひろいもの	hiroimono
やっつけ仕事	やっつけしごと	yattsukeshigoto
手向け	たむけ	tamuke
乗り組む	のりくむ	norikumu
鳴り物入り	なりものいり	narimonoiri
次の間	つぎのま	tsuginoma
集まれる	あつまれる	atsumareru
命拾い	いのちびろい	inochibiroi
写し取る	うつしとる	utsushitoru
首根っこ	くびねっこ	kubinekko
着流し	きながし	kinagashi
放ったらかし	ほったらかし	hottarakashi
申し入れる	もうしいれる	moushiireru
血なまぐさい	ちなまぐさい	chinamagusai
取りまとめる	とりまとめる	torimatomeru
引き返せる	ひきかえせる	hikikaeseru
住い	すまい|ずまい	sumai|zumai
筆まめ	ふでまめ	fudemame
真白い	まっしろい|ましろい	masshiroi|mashiroi
消えうせる	きえうせる	kieuseru
真っ昼間	まっぴるま	mappiruma
打ちこむ	うちこむ	uchikomu
旅だつ	たびだつ	tabidatsu
名前負け	なまえまけ	namaemake
打ち合せる	うちあわせる	uchiawaseru
取り次ぐ	とりつぐ	toritsugu
物すごい	ものすごい	monosugoi
追い落とす	おいおとす	oiotosu
真打ち	しんうち	shinnuchi
読取り	よみとり	yomitori
根負け	こんまけ	konnmake
開け放す	あけはなす	akehanasu
飲み代	のみしろ	nomishiro
お手の物	おてのもの	otenomono
そば湯	そばゆ	sobayu
通し番号	とおしばんごう	tooshibanngou
待ち人	まちびと	machibito
もの申す	ものもうす	monomousu
むしり取る	むしりとる	mushiritoru
命知らず	いのちしらず	inochishirazu
考え物	かんがえもの	kanngaemono
取り下げる	とりさげる	torisageru
はね返す	はねかえす	hanekaesu
取下げる	とりさげる	torisageru
配する	はいする	haisuru
取りやめる	とりやめる	toriyameru
根から	ねから	nekara
ほの暗い	ほのぐらい	honogurai
取っ組み合い	とっくみあい	tokkumiai
落ちつき	おちつき	ochitsuki
打ち落とす	うちおとす	uchiotosu
お代	おだい	odai
へそ曲がり	へそまがり	hesomagari
事足る	ことたる	kototaru
はまり役	はまりやく	hamariyaku
つけ根	つけね	tsukene
追いこむ	おいこむ	oikomu
持ち出せる	もちだせる	mochidaseru
向き合える	むきあえる	mukiaeru
力負け	ちからまけ	chikaramake
転ける	こける	kokeru
代かき	しろかき	shirokaki
打ち出せる	うちだせる	uchidaseru
軽はずみ	かるはずみ	karuhazumi
七転び八起き	ななころびやおき	nanakorobiyaoki
申し送る	もうしおくる	moushiokuru
大安売り	おおやすうり	ooyasuuri
追い出せる	おいだせる	oidaseru
身投げ	みなげ	minage
しかめっ面	しかめっつら	shikamettsura
死に体	しにたい	shinitai
勝れる	すぐれる	sugureru
仕向ける	しむける	shimukeru
注す	さす|ちゅうす	sasu|tyuusu
手返し	てがえし	tegaeshi
商う	あきなう|あきのう	akinau|akinou
受けいれる	うけいれる	ukeireru
万事休す	ばんじきゅうす	bannjikyuusu
生き血	いきち	ikichi
売り主	うりぬし	urinushi
こぎ着ける	こぎつける	kogitsukeru
持ちかえる	もちかえる	mochikaeru
よつ葉	よつば	yotsuba
行き着ける	いきつける|ゆきつける	ikitsukeru|yukitsukeru
むき身	むきみ	mukimi
たたき起こす	たたきおこす	tatakiokosu
聞き役	ききやく	kikiyaku
実入り	みいり	miiri
使いもの	つかいもの	tsukaimono
い服	いふく	ifuku
具える	そなえる	sonaeru
見定める	みさだめる	misadameru
重んずる	おもんずる	omonnzuru
注し	さし|ちゅうし|ざし	sashi|tyuushi|zashi
死なす	しなす	shinasu
橋りょう	きょうりょう	kyouryou
はぎ取る	はぎとる	hagitoru
投げ入れる	なげいれる	nageireru
飲みもの	のみもの	nomimono
都落ち	みやこおち	miyakoochi
取りつかれる	とりつかれる	toritsukareru
島しょ	とうしょ	tousho
切れ者	きれもの|きれもん	kiremono|kiremonn
助く	たすく	tasuku
送りだす	おくりだす	okuridasu
打ちっ放し	うちっぱなし	uchippanashi
取消す	とりけす	torikesu
取りこむ	とりこむ	torikomu
夏向き	なつむき	natsumuki
ぶん投げる	ぶんなげる	bunnnageru
ただ者	ただもの	tadamono
和める	なごめる	nagomeru
取りつく	とりつく	toritsuku
聞き苦しい	ききぐるしい	kikigurushii
送りこむ	おくりこむ	okurikomu
野遊び	のあそび	noasobi
方向づけ	ほうこうづけ	houkouduke
かけ橋	かけはし	kakehashi
人さし指	ひとさしゆび	hitosashiyubi
板ばさみ	いたばさみ	itabasami
わき起こる	わきおこる	wakiokoru
学び取る	まなびとる	manabitoru
追いすがる	おいすがる	oisugaru
引き取り手	ひきとりて	hikitorite
ぜん息	ぜんそく	zennsoku
手負い	ておい	teoi
まい進	まいしん	maishinn
一皮むける	ひとかわむける	hitokawamukeru
真ん丸	まんまる	mannmaru
和する	わする	wasuru
虫の息	むしのいき	mushinoiki
入れ代わる	いれかわる	irekawaru
お流れ	おながれ	onagare
点取り	てんとり	tenntori
死に場所	しにばしょ	shinibasho
右向き	みぎむき	migimuki
こぼれ落ちる	こぼれおちる	koboreochiru
もみ消す	もみけす	momikesu
読み流す	よみながす	yominagasu
いんげん豆	いんげんまめ	inngennmame
氷る	こおる|こうる	kooru|kouru
悪乗り	わるのり	warunori
湯引く	ゆびく	yubiku
進ちょく	しんちょく	shinntyoku
乗入れる	のりいれる	noriireru
くみ取り	くみとり	kumitori
取りかえる	とりかえる	torikaeru
取り落とす	とりおとす	toriotosu
追い上げる	おいあげる	oiageru
育てあげる	そだてあげる	sodateageru
目鼻立ち	めはなだち	mehanadachi
面食い	めんくい|めんくらい	mennkui|mennkurai
福引き	ふくびき	fukubiki
風待ち	かざまち|かぜまち	kazamachi|kazemachi
具に	つぶさに	tsubusani
練り合わせる	ねりあわせる	neriawaseru
がた落ち	がたおち	gataochi
書き表す	かきあらわす	kakiarawasu
うすら寒い	うすらさむい|うすらさみい	usurasamui|usurasamii
買い受ける	かいうける	kaiukeru
泳ぎ方	およぎかた	oyogikata
こけら落とし	こけらおとし	kokeraotoshi
湯せん	ゆせん	yusenn
中落ち	なかおち	nakaochi
飲み明かす	のみあかす	nomiakasu
病が	びょうが	byouga
後ろ指	うしろゆび	ushiroyubi
受けとり	うけとり	uketori
きれい事	きれいごと	kireigoto
早打ち	はやうち	hayauchi
売り言葉	うりことば	urikotoba
顔向け	かおむけ	kaomuke
使いみち	つかいみち	tsukaimichi
研さん	けんさん	kennsann
お歯黒	おはぐろ	ohaguro
なたね油	なたねあぶら	nataneabura
安らう	やすらう	yasurau
他山の石	たざんのいし	tazannnoishi
ささ身	ささみ	sasami
大写し	おおうつし	ooutsushi
持ち分	もちぶん	mochibunn
口開け	くちあけ	kuchiake
身ぶり	みぶり	miburi
開き戸	ひらきど	hirakido
陽ざし	ひざし	hizashi
指し手	さして	sashite
具合い	ぐあい	guai
はじき返す	はじきかえす	hajikikaesu
急がす	いそがす	isogasu
落とし前	おとしまえ	otoshimae
追える	おえる	oeru
七つ道具	ななつどうぐ	nanatsudougu
もらい物	もらいもの	moraimono
勝ち気	かちき	kachiki
左向き	ひだりむき	hidarimuki
歯向かう	はむかう	hamukau
血の池	ちのいけ	chinoike
上目使い	うわめづかい	uwamedukai
問いあわせる	といあわせる	toiawaseru
もめ事	もめごと	momegoto
飲み下す	のみくだす	nomikudasu
集える	つどえる	tsudoeru
向かいあう	むかいあう	mukaiau
投ずる	とうずる	touzuru
意味あい	いみあい	imiai
書き送る	かきおくる	kakiokuru
遊び回る	あそびまわる	asobimawaru
せん定	せんてい	senntei
取入れ	とりいれ	toriire
くみ取る	くみとる	kumitoru
むせ返る	むせかえる	musekaeru
庭作り	にわつくり|にわづくり	niwatsukuri|niwadukuri
返す返す	かえすがえす	kaesugaesu
ひん曲がる	ひんまがる	hinnmagaru
昔語り	むかしがたり	mukashigatari
列ぶ	ならぶ	narabu
起が	きが	kiga
ただ事	ただごと	tadagoto
取りはずす	とりはずす	torihazusu
取り立てる	とりたてる	toritateru
買い言葉	かいことば	kaikotoba
言葉少な	ことばすくな|ことばずくな	kotobasukuna|kotobazukuna
まがい物	まがいもの	magaimono
有り金	ありがね	arigane
落ちつける	おちつける	ochitsukeru
羊かん	ようかん	youkann
お仕着せ	おしきせ	oshikise
取決める	とりきめる	torikimeru
橋げた	はしげた	hashigeta
使いで	つかいで	tsukaide
死に神	しにがみ	shinigami
乗りつける	のりつける	noritsukeru
読み返せる	よみかえせる	yomikaeseru
朝起き	あさおき	asaoki
持出す	もちだす	mochidasu
乗りこなせる	のりこなせる	norikonaseru
取りまく	とりまく	torimaku
野次る	やじる	yajiru
打合わせ	うちあわせ	uchiawase
ひっくり返せる	ひっくりかえせる	hikkurikaeseru
ほう助	ほうじょ	houjo
遊び歩く	あそびあるく	asobiaruku
打ち放す	うちはなす	uchihanasu
川開き	かわびらき	kawabiraki
血合い	ちあい	chiai
取りとめる	とりとめる	toritomeru
取り消せる	とりけせる	torikeseru
鼻持ち	はなもち	hanamochi
買受ける	かいうける	kaiukeru
高みの見物	たかみのけんぶつ	takaminokennbutsu
くせ者	くせもの	kusemono
横やり	よこやり	yokoyari
温む	ぬるむ	nurumu
見取り	みとり|みどり	mitori|midori
ご両人	ごりょうにん	goryouninn
むし暑い	むしあつい|むしあちい	mushiatsui|mushiachii
身一つ	みひとつ	mihitotsu
親代わり	おやがわり	oyagawari
がん具	がんぐ	ganngu
身ぐるみ	みぐるみ	migurumi
ゆずり葉	ゆずりは	yuzuriha
速まる	はやまる	hayamaru
仕上る	しあがる	shiagaru
上げ相場	あげそうば	agesouba
待ち合わせる	まちあわせる	machiawaseru
出たとこ勝負	でたとこしょうぶ	detatokoshoubu
かじ取り	かじとり	kajitori
落着き	おちつき	ochitsuki
研げる	とげる	togeru
取っつき	とっつき	tottsuki
宮仕え	みやづかえ	miyadukae
急く	せく	seku
指切り	ゆびきり	yubikiri
死に目	しにめ	shinime
引っくり返す	ひっくりかえす	hikkurikaesu
消し止める	けしとめる	keshitomeru
世界じゅう	せかいじゅう	sekaijuu
立ち代る	たちかわる	tachikawaru
ぐい飲み	ぐいのみ	guinomi
取り計らい	とりはからい	torihakarai
持ち帰れる	もちかえれる	mochikaereru
起てる	たてる|だてる	tateru|dateru
さらし者	さらしもの	sarashimono
荷さばき	にさばき	nisabaki
かな漢字	かなかんじ	kanakannji
仕事がら	しごとがら	shigotogara
こむら返り	こむらがえり	komuragaeri
手落ち	ておち	teochi
乗りだす	のりだす	noridasu
助け船	たすけぶね	tasukebune
対がん	たいがん	taigann
真っ平	まっぴら	mappira
物の数	もののかず	mononokazu
習える	ならえる	naraeru
物入り	ものいり	monoiri
物分り	ものわかり	monowakari
おつかれ様	おつかれさま	otsukaresama
打切り	うちきり	uchikiri
取りたて	とりたて	toritate
相まつ	あいまつ	aimatsu
死に顔	しにがお	shinigao
こう着	こうちゃく	koutyaku
乗りかえ	のりかえ	norikae
葉たばこ	はたばこ	hatabako
仕合せ	しあわせ	shiawase
い死	いし	ishi
道具立て	どうぐだて	dougudate
遠乗り	とおのり	toonori
なまけ者	なまけもの	namakemono
心安い	こころやすい|こころやしい	kokoroyasui|kokoroyashii
持ち合わせる	もちあわせる	mochiawaseru
身代り	みがわり	migawari
荷動き	にうごき	niugoki
決り	きまり|ぎまり	kimari|gimari
草深い	くさぶかい	kusabukai
立ち向かえる	たちむかえる	tachimukaeru
決め球	きめだま	kimedama
こう配	こうばい|こうはい	koubai|kouhai
当て身	あてみ	atemi
人指し指	ひとさしゆび	hitosashiyubi
負える	おえる	oeru
ひまし油	ひましゆ	himashiyu
口取り	くちとり	kuchitori
乗りこえる	のりこえる	norikoeru
人使い	ひとづかい	hitodukai
感じとれる	かんじとれる	kannjitoreru
やけ酒	やけざけ	yakezake
本決まり	ほんぎまり	honngimari
調子づく	ちょうしづく	tyoushiduku
問い直し	といなおし	toinaoshi
消し炭	けしずみ	keshizumi
暗やみ	くらやみ	kurayami
待合せ	まちあわせ	machiawase
年度始め	ねんどはじめ	nenndohajime
鼻つまみ	はなつまみ	hanatsumami
思う様	おもうさま	omousama
飲みほす	のみほす	nomihosu
血の道	ちのみち	chinomichi
送り出せる	おくりだせる	okuridaseru
打ちきる	うちきる	uchikiru
あきれ返る	あきれかえる	akirekaeru
ふり向く	ふりむく	furimuku
飲みで	のみで	nomide
七曲り	ななまがり	nanamagari
買い主	かいぬし	kainushi
申し入れ書	もうしいれしょ	moushiiresho
重る	おもる|かさなる	omoru|kasanaru
目打ち	めうち	meuchi
取り分ける	とりわける	toriwakeru
つなぎ服	つなぎふく	tsunagifuku
急ごしらえ	きゅうごしらえ	kyuugoshirae
事切れる	こときれる	kotokireru
打放す	うちはなす	uchihanasu
取りあう	とりあう	toriau
打ち勝てる	うちかてる	uchikateru
転がせる	ころがせる	korogaseru
はしご酒	はしござけ	hashigozake
追いまわす	おいまわす	oimawasu
使いこむ	つかいこむ	tsukaikomu
委しい	くわしい	kuwashii
飲みこむ	のみこむ	nomikomu
ちんどん屋	ちんどんや	chinndonnya
安が	あんが	annga
らい病	らいびょう	raibyou
相いれる	あいいれる	aiireru
切り開ける	きりひらける	kirihirakeru
はね返る	はねかえる	hanekaeru
波うつ	なみうつ	namiutsu
乗ずる	じょうずる	jouzuru
茶飲み	ちゃのみ	tyanomi
木取り	きどり|きとり	kidori|kitori
ごちそう様	ごちそうさま	gochisousama
風の神	かぜのかみ	kazenokami
落とし主	おとしぬし	otoshinushi
歯ならび	はならび	hanarabi
仕出かす	しでかす	shidekasu
光り物	ひかりもの	hikarimono
着の身着のまま	きのみきのまま	kinomikinomama
やり投げ	やりなげ	yarinage
虫送り	むしおくり	mushiokuri
待ち合い	まちあい	machiai
転ばす	ころばす	korobasu
投てき	とうてき	touteki
旅立てる	たびだてる	tabidateru
打ちどころ	うちどころ	uchidokoro
軽軽しい	かるがるしい|かろがろしい	karugarushii|karogaroshii
使い走り	つかいはしり	tsukaihashiri
引返し	ひきかえし	hikikaeshi
配れる	くばれる	kubareru
待合い	まちあい	machiai
生き写し	いきうつし	ikiutsushi
研ぎ出し	とぎだし	togidashi
受入れる	うけいれる	ukeireru
問合せる	といあわせる	toiawaseru
お守	おまもり|おもり	omamori|omori
真ちゅう	しんちゅう	shinntyuu
二重取り	にじゅうどり	nijuudori
曲がれる	まがれる	magareru
具する	ぐする	gusuru
取って返す	とってかえす	tottekaesu
着古し	きふるし	kifurushi
見取る	みとる	mitoru
手の者	てのもの	tenomono
あお向け	あおむけ	aomuke
根の国	ねのくに	nenokuni
物見高い	ものみだかい	monomidakai
問わず語り	とわずがたり	towazugatari
死がい	しがい	shigai
待ちこがれる	まちこがれる	machikogareru
取りくむ	とりくむ	torikumu
のけ者	のけもの	nokemono
通し柱	とおしばしら	tooshibashira
仕合わせ	しあわせ	shiawase
油絵の具	あぶらえのぐ	aburaenogu
持する	じする	jisuru
星祭り	ほしまつり	hoshimatsuri
拾いもの	ひろいもの	hiroimono
身もだえ	みもだえ	mimodae
鳥追い	とりおい	torioi
横ずれ	よこずれ	yokozure
真っ直中	まっただなか	mattadanaka
反す	はんす|かえす	hannsu|kaesu
流れ図	ながれず	nagarezu
物取り	ものとり	monotori
真黒い	まっくろい	makkuroi
なす事	なすこと	nasukoto
身のほど	みのほど	minohodo
みつ豆	みつまめ	mitsumame
ふるい落とす	ふるいおとす	furuiotosu
時代もの	じだいもの	jidaimono
後向き	うしろむき	ushiromuki
と列	とれつ	toretsu
たたき落とす	たたきおとす	tatakiotosu
着ぶくれ	きぶくれ	kibukure
ひとさし指	ひとさしゆび	hitosashiyubi
取り口	とりくち	torikuchi
乗り通す	のりとおす	noritoosu
身持ち	みもち	mimochi
玉取り	たまとり	tamatori
勝ち進める	かちすすめる	kachisusumeru
軽んずる	かろんずる	karonnzuru
うら悲しい	うらがなしい	uraganashii
皿回し	さらまわし	saramawashi
委せる	まかせる	makaseru
横合い	よこあい	yokoai
牛追い	うしおい	ushioi
落としぶた	おとしぶた	otoshibuta
でんぐり返し	でんぐりがえし	denngurigaeshi
開けっぱなし	あけっぱなし	akeppanashi
平たん	へいたん	heitann
気軽い	きがるい|きがりい	kigarui|kigarii
火打ち	ひうち	hiuchi
打ち所	うちどころ	uchidokoro
べき乗	べきじょう	bekijou
追いまくる	おいまくる	oimakuru
動ずる	どうずる	douzuru
平らか	たいらか	tairaka
勉める	つとめる	tsutomeru
助け合える	たすけあえる	tasukeaeru
待遠しい	まちどおしい	machidooshii
箱書き	はこがき	hakogaki
