自分	じぶん	jibunn
多用	たよう	tayou
見分け	みわけ	miwake
園内	えんない	ennnai
国外	こくがい	kokugai
思い切り	おもいきり	omoikiri
山野	さんや	sannya
思いつき	おもいつき	omoitsuki
作り出し	つくりだし	tsukuridashi
山行	さんこう	sannkou
鳴り	なり	nari
手話	しゅわ	shuwa
組立	くみたて	kumitate
生後	せいご	seigo
今時	いまどき	imadoki
四方	しほう|よも	shihou|yomo
近づき	ちかづき	chikaduki
長生き	ながいき	nagaiki
遠足	えんそく	ennsoku
半田	はんだ	hannda
新生	しんせい	shinnsei
花園	はなぞの|かえん	hanazono|kaenn
空母	くうぼ	kuubo
色気	いろけ	iroke
出走	しゅっそう	shussou
古今	こきん|ここん	kokinn|kokonn
やり直し	やりなおし	yarinaoshi
南方	なんぽう	nannpou
理学	りがく	rigaku
谷口	たにぐち	taniguchi
合図	あいず	aizu
話せる	はなせる	hanaseru
日の丸	ひのまる	hinomaru
新春	しんしゅん	shinnshunn
大通り	おおどおり	oodoori
太もも	ふともも	futomomo
分かれる	わかれる	wakareru
明白	めいはく	meihaku
丸出し	まるだし	marudashi
南下	なんか	nannka
外野	がいや	gaiya
まとめ買い	まとめがい	matomegai
絵かき	えかき	ekaki
引き下げ	ひきさげ	hikisage
原画	げんが	gennga
同点	どうてん	doutenn
直近	ちょっきん	tyokkinn
円形	えんけい	ennkei
聞ける	きける	kikeru
正午	しょうご	shougo
思い入れ	おもいいれ	omoiire
里親	さとおや	satooya
売春	ばいしゅん	baishunn
車道	しゃどう	shadou
新米	しんまい	shinnmai
原文	げんぶん	gennbunn
同名	どうめい	doumei
馬車	ばしゃ	basha
木曜	もくよう	mokuyou
電線	でんせん	dennsenn
活字	かつじ	katsuji
引き分け	ひきわけ	hikiwake
村長	そんちょう|むらおさ	sonntyou|muraosa
数える	かぞえる	kazoeru
地場	じば	jiba
何しろ	なにしろ	nanishiro
中西	ちゅうせい	tyuusei
東名	とうめい	toumei
足首	あしくび	ashikubi
下方	かほう	kahou
強気	つよき	tsuyoki
岩場	いわば	iwaba
思春	ししゅん	shishunn
引手	ひきて	hikite
